Element,Count
triggerfish,4
omnipod,6
smartphone,179
tracker,33
smart phone,32
mobile device,11
inbody 770,3
xbox,10
kinect,26
mhealth,70
mobile app,32
morpheus,5
bioheart,2
wearable,104
whoop,7
iphone,10
lifelight,4
spark,2
smart technology,1
polar,29
withings,4
aria,3
duchenne video assessment,3
android,15
digital therapeutic,4
nexus,2
upright go,2
aktiia,7
philips,12
wrist blood pressure monitor,4
dexcom,16
resperate,3
fitbit charge,4
g4 platinum,1
fitbit,72
activpal,8
sensewear,4
smart watch,10
neuronaute,4
cardioskin,4
nox a1,1
earlysense,3
ipad,17
corband,3
coaguchek,5
monsenso,3
onetouch,1
accu-chek,2
bgstar,1
relion,1
gpskin,4
silvercloud,2
actigraph,22
wgt3x-bt,2
fitness tracker,8
sleep tracker,1
patient status engine,2
vitrack,4
pro-diary,1
everion,5
cova,1
inspire 2,2
quest 2,5
holter monitor,5
endopat,3
t:slim,5
g6 cgm,6
nest hub,2
alexa,3
minimed,7
temptraq,2
gaitrite,4
ipod,3
locs,1
akili,1
vscan,3
omron,10
zeit,2
garmin,10
spiriva respimat,1
my jump 2,1
wisepill,3
smart pill bottle,4
lynx,1
bluetooth-enabled blood pressure,2
nurochek,1
tslim,2
sapphire,2
fingertip pulse oximeter,2
smartwatch,8
fresenius medical care,3
complog,1
digital biomarker,1
myotonpro,5
somnofy,1
digital camera,6
tanita,9
m200,1
j3,1
zio patch,1
kelvin,2
chest strap,4
enlite,2
mems cap,1
5 series,1
beiwe,1
remo,1
p20b,1
freestyle libre,5
oculus go,1
body scan,5
blipcare,1
e4 wristband,2
empatica,3
luxe,2
fitbit aria,2
inertial measurement units,2
wireless weight scale,1
digital weight scale,1
better therapeutics,1
elite sport,1
medtronic carelink,1
datex-ohmeda,2
3 series,1
activepal,2
90207,1
swaystar,1
easyone,1
movalyzer,1
mira rehab,1
stroke alarm,1
mobile ecg,1
pal technologies,2
digital thermometer,1
activpal3,1
gt3x,2
ace 2,1
cardiostat,1
vivosmart,1
metricwire,1
e-prime 2.0,1
kari,1
actiwatch,1
sleep monitor,1
biostamprc,1
elite hrv app,1
movisens,1
hexoskin,1
motiowear,1
wireless scale,1
wii,1
activpal4,1
trust-m,1
apple watch,2
healthkit,1
wii balance board,1
inbody 270,1
sona,1
dynamo,1
wristox2 3150,1
vitalpatch,1
gt9x link,1
alta hr,2
myomotion,1
motionwatch,2
alta,1
move 3,1
cusum,1
camntech,1
portable ecg,1
vive pro eye,1
polar m600,1
praat,1
eye tracking technology,2
smart scale,1
smart textile,1
biodex medical systems,1
cutometer dual mpa 580,1
glossymeter gl200,1
galileo,1
druid,1
kinesia,1
hololens 2,1
forerunner,1
strava,1
vicorder,1
pulse hr,1
imu sensor,1
apdm,1
